,Country,Area,Year,Population,GDP Per Capita,Population Density,Vehicle Ownership,Total Road Deaths,Road Deaths per Million Inhabitants
22,Romania,238.4,2018,19530631,8700,85,329,1867,96
2,Bulgaria,111.0,2018,7050034,6500,65,516,611,88
15,Latvia,64.6,2018,1934379,12300,31,387,143,78
3,Croatia,56.5,2018,4105493,11500,74,416,317,77
20,Poland,312.7,2018,37976687,12400,124,672,2862,76
11,Greece,132.0,2018,10741165,17800,83,605,690,64
12,Hungary,93.0,2018,9778371,12500,108,394,629,64
5,Czechia,78.9,2018,10610055,17600,137,570,656,62
16,Lithuania,65.3,2018,2808901,13300,45,501,170,61
17,Luxembourg,2.6,2018,602005,80800,245,740,36,60
21,Portugal,92.2,2018,10291027,17900,112,479,606,59
4,Cyprus,9.3,2018,864236,23300,128,726,49,57
14,Italy,302.1,2018,60483973,26700,206,707,3310,55
1,Belgium,30.5,2018,11398589,35300,376,585,590,52
7,Estonia,45.2,2018,1319133,15100,30,620,67,51
9,France,632.8,2018,66926166,32800,123,590,3265,48
23,Slovakia,49.0,2018,5443120,15600,113,455,229,46
0,Austria,83.9,2018,8822267,38000,107,665,409,45
24,Slovenia,20.3,2018,2066880,20200,103,587,91,44
8,Finland,338.4,2018,5513130,36600,18,732,225,43
10,Germany,357.3,2018,82792351,35900,237,610,3177,39
25,Spain,506.0,2018,46658447,25000,93,611,1806,39
18,Malta,0.3,2018,475701,21600,1462,726,18,38
26,Sweden,438.6,2018,10120242,43300,25,542,324,32
19,Netherlands,41.5,2018,17181084,41500,508,543,678,31
13,Ireland,69.8,2018,4830392,59400,70,525,146,31
6,Denmark,42.9,2018,5781190,47600,137,508,175,30
27,United Kingdom,248.5,2018,66273576,32400,273,544,1825,28
28,EU 28 Total,4463.4,2018,512379225,28200,121,587,25249,49
